#DescID	MeSH	CompStatus	TGSize	TG+	TG-	T+uniq	Common	B+uniq	BG+	BG-	BGSize	TG-Ratio	BG-Ratio	TG-R/BG-R	P-value
10701	Phenylhydrazines	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
13107	Cytochromes c	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
17590	Nitric Oxide Donors	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
13998	Glutathione Reductase	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
9386	Hydroxyl Radical	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
10915	Dizocilpine Maleate	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
9839	Dithiothreitol	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
12129	Kainic Acid	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
16799	Proteome	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
11137	Ketones	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
21603	Aerobiosis	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
1094	Hybrid Cells	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
9518	Aluminum	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
1070	Cell Line, Transformed	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
18246	Genetic Screening	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
16620	Receptors, N-Methyl-D-Aspartate	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
22217	Polymorphism, Single Nucleotide	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
12196	Flavonoids	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
7732	Cataract	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
21566	Protein Processing, Post-Translational	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
19326	Electron Spin Resonance Spectroscopy	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
11371	Phenols	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
595	Brain Stem	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
21557	Gene Expression Regulation, Enzymologic	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
21533	DNA Repair	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
22194	Linkage (Genetics)	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
13871	L-Lactate Dehydrogenase	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
1493	Embryo, Mammalian	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
21395	Cell Proliferation	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
22548	Models, Chemical	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
8055	Cardiovascular Diseases	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
3688	Saccharomyces cerevisiae	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
19303	Flow Cytometry	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
21771	Oxygen Consumption	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
19547	Risk Assessment	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
9437	Oxygen	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
1024	Erythrocytes	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
19274	Electrophoresis, Polyacrylamide Gel	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
19504	Incidence	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
22170	Kinetics	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
329	Liver	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
16964	DNA	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
