#Level	GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
Level3	GO:0044420	extracellular matrix part	399	4	395	8	547	555	7.700e-01	0.01	0.01	0.7
Level5	GO:0012505	endomembrane system	399	28	371	36	519	555	7.935e-01	0.07	0.06	1.1
Level4	GO:0045177	apical part of cell	399	6	393	10	545	555	8.029e-01	0.02	0.02	0.8
Level3	GO:0044456	synapse part	399	7	392	12	543	555	8.153e-01	0.02	0.02	0.8
Level5	GO:0005625	soluble fraction	399	28	371	37	518	555	8.965e-01	0.07	0.07	1.1
Level2	GO:0019012	virion	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0031594	neuromuscular junction	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level3	GO:0044423	virion part	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0042995	cell projection	399	30	369	41	514	555	1.000e+00	0.08	0.07	1.0
Level4	GO:0030427	site of polarized growth	399	5	394	8	547	555	1.000e+00	0.01	0.01	0.9
Level4	GO:0005604	basement membrane	399	3	396	5	550	555	1.000e+00	0.01	0.01	0.8
Level4	GO:0030312	external encapsulating structure	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level4	GO:0042597	periplasmic space	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level4	GO:0005581	collagen	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level4	GO:0019028	viral capsid	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0043005	neuron projection	399	19	380	26	529	555	1.000e+00	0.05	0.05	1.0
Level5	GO:0044463	cell projection part	399	7	392	11	544	555	1.000e+00	0.02	0.02	0.9
Level5	GO:0030426	growth cone	399	5	394	8	547	555	1.000e+00	0.01	0.01	0.9
Level5	GO:0030027	lamellipodium	399	5	394	7	548	555	1.000e+00	0.01	0.01	1.0
Level5	GO:0016324	apical plasma membrane	399	5	394	8	547	555	1.000e+00	0.01	0.01	0.9
Level5	GO:0030313	cell envelope	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level5	GO:0044462	external encapsulating structure part	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level5	GO:0005929	cilium	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0043204	perikaryon	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0005902	microvillus	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0005583	fibrillar collagen	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
