#Symbol	HUGOID	Name	#Occur	#Paper	MatchString	PMIDs
SOD1	11179	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	1301	55	SOD-1 | ALS1 | SOD1 | SOD1s | SOD1- | SOD1-containing | SOD-mimetic | SOD-expressing | SOD1-Mediated | SOD1-mediated | hSOD1 | hSOD | SOD-inhibitable | ALS | mSOD1 | SOD1-expressing | 	10525172,11220737,11796754,12060810,12124437,12194501,12270689,12417341,12843244,14511332,14597108,14739060,14960605,15081582,15210305,15453089,15571972,15572176,15649489,15657392,15691215,15804265,16120782,16179515,16380619,16436205,16510725,16624536,16647138,16737688,16781706,16877542,16892030,16909005,17008387,17015226,17018025,17034351,17191135,17214440,17306794,17350694,17418957,17555556,17569578,17582695,17853944,17997855,18312546,18370853,18397603,18436268,18464922,18513389,18598679,
SOD2	11180	superoxide dismutase 2, mitochondrial	12	4	Mn-SOD | MnSOD | SOD2 | 	8605177,14739060,17191135,18513389,
SP1	11205	Sp1 transcription factor	2	2	SP1 | SP-1 | 	16380619,17191135,
SPI1	11241	spleen focus forming virus (SFFV) proviral integration oncogene spi1	6	2	PU.1 | 	17015226,17555556,
SRF	11291	serum response factor (c-fos serum response element-binding transcription factor)	1	1	SRF | 	16104843,
STAT1	11362	signal transducer and activator of transcription 1, 91kDa	10	5	STATs | STAT1 | STAT-1 | 	16753239,16766086,17569578,18464922,18464925,
STAT3	11364	signal transducer and activator of transcription 3 (acute-phase response factor)	1	1	STAT3 | 	16753239,
STRBP	16462	spermatid perinuclear RNA binding protein	1	1	p74 | 	16624536,
STUB1	11427	STIP1 homology and U-box containing protein 1	6	1	CHIP | 	17191135,
TAF10	11543	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	4	1	TAFII30 | 	12417341,
TAL1	11556	T-cell acute lymphocytic leukemia 1	1	1	TAL-1 | 	15210305,
TFAM	11741	transcription factor A, mitochondrial	2	1	Tfam | TFAM | 	18464922,
TFAP2A	11742	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	2	Ap-2 | AP-2 | 	16647138,17191135,
TGFB1	11766	transforming growth factor, beta 1	6	2	TGF-beta1 | TGF-B | 	16510725,17018025,
TGFB3	11769	transforming growth factor, beta 3	1	1	TGF-beta3 | 	16510725,
TGM1	11777	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)	8	1	TGase | Tgase | 	15507874,
THY1	11801	Thy-1 cell surface antigen	1	1	Thy1 | 	17306794,
TJP1	11827	tight junction protein 1 (zona occludens 1)	1	1	ZO-1 | 	15799549,
TLR2	11848	toll-like receptor 2	28	5	TLR-2 | TLR2 | 	14960605,16624536,17997855,18464925,18598679,
TLR4	11850	toll-like receptor 4	3	3	TLR4 | 	14960605,17997855,18598679,
TLR9	15633	toll-like receptor 9	1	1	TLR9 | 	17997855,
TNF	11892	tumor necrosis factor (TNF superfamily, member 2)	314	35	TNF-expression | TNF-produced | TNF-alpha-dependent | TNF-_amp_#945 | TNF-dependant | TNF-deficient | TNFalpha | TNF-A | TNF-Related | 	9562310,10525172,11796754,11847479,12124437,14739060,14960605,15081582,15453089,15572176,15657392,15681814,15777251,16380619,16436205,16510725,16624536,16753239,16909005,17018025,17034351,17418957,17555556,17582695,17597167,17908040,18040778,18246426,18414597,18422522,18436268,18464922,18464925,18513389,18751914,
TNFRSF1A	11916	tumor necrosis factor receptor superfamily, member 1A	12	4	TNFR1 | TNF-receptor | TNF-R1 | p55 | 	12124437,16510725,16624536,17418957,
TNFRSF1B	11917	tumor necrosis factor receptor superfamily, member 1B	44	6	p75-dependent | TNFR2 | TNF-R2 | NTR | 	15572176,16510725,16624536,17015226,17018025,17418957,
TNFSF10	11925	tumor necrosis factor (ligand) superfamily, member 10	3	2	TRAIL-induced | 	16436205,17569578,
TP53	11998	tumor protein p53	5	3	p53 | 	15681814,16104843,17191135,
TRADD	12030	TNFRSF1A-associated via death domain	3	2	TRADD | 	16510725,16624536,
TRPV1	12716	transient receptor potential cation channel, subfamily V, member 1	14	1	TRPV1 | 	17350694,
TXN	12435	thioredoxin	46	1	TRX | Trx1 | Trx | Trx-1 | 	17191135,
TXN2	17772	thioredoxin 2	9	1	Trx2 | Trx-2 | 	17191135,
UBASH3B	29884	ubiquitin associated and SH3 domain containing, B	1	1	p70 | 	16104843,
UBE4A	12499	ubiquitination factor E4A (UFD2 homolog, yeast)	1	1	UFD2 | 	17015226,
UCHL1	12513	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	1	1	UCH-L1 | 	11173059,
UCP1	12517	uncoupling protein 1 (mitochondrial, proton carrier)	2	1	UCP-1 | 	18464922,
VAPB	12649	VAMP (vesicle-associated membrane protein)-associated protein B and C	10	1	ALS8 | VAPB | 	17015226,
VCAM1	12663	vascular cell adhesion molecule 1	17	1	VCAM-1 | 	18539342,
VEGFA	12680	vascular endothelial growth factor A	239	6	VEGF-dependent | VEGF-A-like | VPF | VEGF-driven | VEGF-A-dependent | VEGF-induced | VEGF-mediated | VEGFs | VEGF-A-induced | 	15210305,15691215,16104843,16380619,17015226,17582695,
VEGFB	12681	vascular endothelial growth factor B	19	1	VEGF-B | 	16104843,
VEGFC	12682	vascular endothelial growth factor C	19	1	VEGF-C | 	16104843,
VIP	12693	vasoactive intestinal peptide	7	1	VIP | 	17582695,
VIPR2	12695	vasoactive intestinal peptide receptor 2	2	1	VPAC2 | 	17582695,
VPS54	18652	vacuolar protein sorting 54 homolog (S. cerevisiae)	1	1	Vps54 | 	17015226,
