#Level	GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
Level3	GO:0016564	transcription repressor activity	399	8	391	13	542	555	8.251e-01	0.02	0.02	0.9
Level4	GO:0005516	calmodulin binding	399	8	391	13	542	555	8.251e-01	0.02	0.02	0.9
Level5	GO:0003712	transcription cofactor activity	399	12	387	15	540	555	8.441e-01	0.03	0.03	1.1
Level3	GO:0003702	RNA polymerase II transcription factor activity	399	13	386	17	538	555	8.534e-01	0.03	0.03	1.1
Level5	GO:0042803	protein homodimerization activity	399	18	381	24	531	555	8.746e-01	0.05	0.04	1.0
Level3	GO:0046906	tetrapyrrole binding	399	18	381	27	528	555	8.775e-01	0.05	0.05	0.9
Level4	GO:0020037	heme binding	399	18	381	27	528	555	8.775e-01	0.05	0.05	0.9
Level2	GO:0005488	binding	399	348	51	486	69	555	9.212e-01	0.87	0.88	1.0
Level3	GO:0005515	protein binding	399	275	124	384	171	555	9.435e-01	0.69	0.69	1.0
Level2	GO:0030234	enzyme regulator activity	399	31	368	44	511	555	1.000e+00	0.08	0.08	1.0
Level2	GO:0005198	structural molecule activity	399	27	372	37	518	555	1.000e+00	0.07	0.07	1.0
Level2	GO:0030188	chaperone regulator activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level2	GO:0045182	translation regulator activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level2	GO:0015457	auxiliary transport protein activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0019207	kinase regulator activity	399	9	390	12	543	555	1.000e+00	0.02	0.02	1.0
Level3	GO:0016829	lyase activity	399	9	390	13	542	555	1.000e+00	0.02	0.02	1.0
Level3	GO:0019825	oxygen binding	399	5	394	8	547	555	1.000e+00	0.01	0.01	0.9
Level3	GO:0019842	vitamin binding	399	4	395	6	549	555	1.000e+00	0.01	0.01	0.9
Level3	GO:0005199	structural constituent of cell wall	399	4	395	5	550	555	1.000e+00	0.01	0.01	1.1
Level3	GO:0008144	drug binding	399	3	396	5	550	555	1.000e+00	0.01	0.01	0.8
Level3	GO:0009975	cyclase activity	399	3	396	5	550	555	1.000e+00	0.01	0.01	0.8
Level3	GO:0042562	hormone binding	399	3	396	5	550	555	1.000e+00	0.01	0.01	0.8
Level3	GO:0003735	structural constituent of ribosome	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level3	GO:0003823	antigen binding	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level3	GO:0015238	drug transporter activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level3	GO:0060090	molecular adaptor activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level3	GO:0008307	structural constituent of muscle	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level3	GO:0000146	microfilament motor activity	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level3	GO:0004362	glutathione\-disulfide reductase activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0016247	channel regulator activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0008147	structural constituent of bone	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0005326	neurotransmitter transporter activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level3	GO:0030190	chaperone inhibitor activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0019911	structural constituent of myelin sheath	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0051184	cofactor transporter activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0043021	ribonucleoprotein binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0008367	bacterial binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0030235	nitric\-oxide synthase regulator activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level3	GO:0031202	RNA splicing factor activity\, transesterification mechanism	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level3	GO:0019840	isoprenoid binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0008134	transcription factor binding	399	17	382	23	532	555	1.000e+00	0.04	0.04	1.0
Level4	GO:0003723	RNA binding	399	10	389	14	541	555	1.000e+00	0.03	0.03	1.0
Level4	GO:0019887	protein kinase regulator activity	399	7	392	11	544	555	1.000e+00	0.02	0.02	0.9
Level4	GO:0016879	ligase activity\, forming carbon\-nitrogen bonds	399	7	392	9	546	555	1.000e+00	0.02	0.02	1.1
Level4	GO:0005543	phospholipid binding	399	5	394	8	547	555	1.000e+00	0.01	0.01	0.9
Level4	GO:0016866	intramolecular transferase activity	399	4	395	5	550	555	1.000e+00	0.01	0.01	1.1
Level4	GO:0016860	intramolecular oxidoreductase activity	399	4	395	6	549	555	1.000e+00	0.01	0.01	0.9
Level4	GO:0051087	chaperone binding	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level4	GO:0019210	kinase inhibitor activity	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level4	GO:0030170	pyridoxal phosphate binding	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level4	GO:0016849	phosphorus\-oxygen lyase activity	399	3	396	5	550	555	1.000e+00	0.01	0.01	0.8
Level4	GO:0016627	oxidoreductase activity\, acting on the CH\-CH group of donors	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level4	GO:0030674	protein binding\, bridging	399	3	396	5	550	555	1.000e+00	0.01	0.01	0.8
Level4	GO:0016566	specific transcriptional repressor activity	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level4	GO:0016725	oxidoreductase activity\, acting on CH or CH2 groups	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level4	GO:0001540	beta\-amyloid binding	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level4	GO:0003704	specific RNA polymerase II transcription factor activity	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level4	GO:0019992	diacylglycerol binding	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level4	GO:0015002	heme\-copper terminal oxidase activity	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level4	GO:0016675	oxidoreductase activity\, acting on heme group of donors	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level4	GO:0019209	kinase activator activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level4	GO:0016251	general RNA polymerase II transcription factor activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level4	GO:0004016	adenylate cyclase activity	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level4	GO:0005096	GTPase activator activity	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level4	GO:0004096	catalase activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0015643	toxin binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0051219	phosphoprotein binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0034185	apolipoprotein binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0030492	hemoglobin binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0005522	profilin binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0008539	proteasome inhibitor activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0005246	calcium channel regulator activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0004383	guanylate cyclase activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0016875	ligase activity\, forming carbon\-oxygen bonds	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0005085	guanyl\-nucleotide exchange factor activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0042030	ATPase inhibitor activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0043532	angiostatin binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0005328	neurotransmitter\:sodium symporter activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0005329	dopamine transmembrane transporter activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0030742	GTP\-dependent protein binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0005497	androgen binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0030191	Hsp70/Hsc70 protein inhibitor activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0046332	SMAD binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0015197	peptide transporter activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0005527	macrolide binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0016801	hydrolase activity\, acting on ether bonds	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0043022	ribosome binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0019826	oxygen sensor activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0048038	quinone binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0016769	transferase activity\, transferring nitrogenous groups	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0005048	signal sequence binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0042834	peptidoglycan binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
