#DescID	MeSH	CorpusSize	t+	t-	b+	b-	WholeSize	t-Ratio	b-Ratio	t-ratio/b-ratio	P-value
9480	Calcium	172	13	159	207631	17553026	17760657	0.08	0.01	6.5	1.576e-07
1837	Humans	172	132	40	10202172	7558485	17760657	0.77	0.57	1.3	1.662e-07
9864	Aldehydes	172	5	167	12671	17747986	17760657	0.03	0.00	40.7	1.982e-07
22547	Models, Neurological	172	6	166	26507	17734150	17760657	0.03	0.00	23.4	2.946e-07
12778	Electron Transport Complex I	172	3	169	1335	17759322	17760657	0.02	0.00	232.0	3.521e-07
753	Microglia	172	4	168	5795	17754862	17760657	0.02	0.00	71.3	3.826e-07
11877	Tetrazolium Salts	172	4	168	6357	17754300	17760657	0.02	0.00	65.0	5.516e-07
7229	Friedreich Ataxia	172	3	169	1688	17758969	17760657	0.02	0.00	183.5	7.094e-07
16619	Receptors, Kainic Acid	172	3	169	1799	17758858	17760657	0.02	0.00	172.2	8.578e-07
11510	Thiazoles	172	5	167	17194	17743463	17760657	0.03	0.00	30.0	8.801e-07
23523	Adult	172	8	164	3034578	14726079	17760657	0.05	0.17	0.3	1.267e-06
21350	Signal Transduction	172	10	162	146440	17614217	17760657	0.06	0.01	7.1	2.067e-06
21531	DNA Fragmentation	172	4	168	9372	17751285	17760657	0.02	0.00	44.1	2.546e-06
18361	Blotting, Western	172	8	164	86974	17673683	17760657	0.05	0.00	9.5	2.614e-06
1576	Animals, Genetically Modified	172	4	168	9477	17751180	17760657	0.02	0.00	43.6	2.660e-06
19344	Coculture Techniques	172	4	168	10092	17750565	17760657	0.02	0.00	40.9	3.404e-06
13988	Nitric Oxide Synthase Type I	172	3	169	3071	17757586	17760657	0.02	0.00	100.9	4.223e-06
1578	Mice, Knockout	172	6	166	48870	17711787	17760657	0.03	0.00	12.7	9.676e-06
7092	Nervous System Diseases	172	5	167	28283	17732374	17760657	0.03	0.00	18.3	9.717e-06
15670	Excitatory Amino Acid Transporter 2	172	2	170	460	17760197	17760657	0.01	0.00	449.0	9.900e-06
19272	Electrophoresis, Gel, Two-Dimensional	172	4	168	13519	17747138	17760657	0.02	0.00	30.6	1.068e-05
19285	Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization	172	4	168	13616	17747041	17760657	0.02	0.00	30.3	1.098e-05
11252	Nitroso Compounds	172	3	169	4301	17756356	17760657	0.02	0.00	72.0	1.149e-05
22214	Point Mutation	172	5	167	29387	17731270	17760657	0.03	0.00	17.6	1.167e-05
11520	Riluzole	172	2	170	528	17760129	17760657	0.01	0.00	391.1	1.303e-05
1096	Tumor Cells, Cultured	172	9	163	143734	17616923	17760657	0.05	0.01	6.5	1.338e-05
21544	Down-Regulation	172	5	167	30748	17729909	17760657	0.03	0.00	16.8	1.448e-05
19678	DNA Mutational Analysis	172	5	167	31023	17729634	17760657	0.03	0.00	16.6	1.510e-05
17571	Excitatory Amino Acid Agonists	172	3	169	5391	17755266	17760657	0.02	0.00	57.5	2.245e-05
6519	Mitochondrial Encephalomyopathies	172	2	170	699	17759958	17760657	0.01	0.00	295.4	2.277e-05
9394	Superoxides	172	4	168	16832	17743825	17760657	0.02	0.00	24.5	2.503e-05
16618	Receptors, AMPA	172	3	169	5625	17755032	17760657	0.02	0.00	55.1	2.546e-05
15352	Amyloid beta-Protein Precursor	172	3	169	5764	17754893	17760657	0.02	0.00	53.7	2.737e-05
15217	Proto-Oncogene Proteins c-bcl-2	172	4	168	17726	17742931	17760657	0.02	0.00	23.3	3.058e-05
13520	Caspases	172	4	168	18293	17742364	17760657	0.02	0.00	22.6	3.453e-05
16685	Metallothionein	172	3	169	6416	17754241	17760657	0.02	0.00	48.3	3.756e-05
14050	Catalase	172	4	168	18761	17741896	17760657	0.02	0.00	22.0	3.807e-05
14920	Excitatory Amino Acids	172	2	170	1026	17759631	17760657	0.01	0.00	201.3	4.890e-05
11425	Acetylcysteine	172	3	169	7017	17753640	17760657	0.02	0.00	44.1	4.893e-05
