HGNC ID	Approved Symbol	Approved Name	Locus Type
2779	DFN6	deafness, X-linked 6, sensorineural	phenotype only
2781	DFN8	deafness, X-linked 8	phenotype only
2812	DFNA7	deafness, autosomal dominant 7	phenotype only
2789	DFNA16	deafness, autosomal dominant 16	phenotype only
13268	DFNA18	deafness, autosomal dominant 18	phenotype only
2791	DFNA19	deafness, autosomal dominant 19	phenotype only
2794	DFNA21	deafness, autosomal dominant 21	phenotype only
2795	DFNA23	deafness, autosomal dominant 23	phenotype only
2796	DFNA24	deafness, autosomal dominant 24	phenotype only
13270	DFNA25	deafness, autosomal dominant 25	phenotype only
2798	DFNA27	deafness, autosomal dominant 27	phenotype only
2800	DFNA29	deafness, autosomal dominant 29	phenotype only
2802	DFNA30	deafness, autosomal dominant 30	phenotype only
2803	DFNA31	deafness, autosomal dominant 31	phenotype only
2804	DFNA32	deafness, autosomal dominant 32	phenotype only
2805	DFNA33	deafness, autosomal dominant 33	phenotype only
2806	DFNA34	deafness, autosomal dominant 34	phenotype only
2807	DFNA35	deafness, autosomal dominant 35	phenotype only
18545	DFNA37	deafness, autosomal dominant 37	phenotype only
14070	DFNA40	deafness, autosomal dominant 40	phenotype only
15575	DFNA41	deafness, autosomal dominant 41	phenotype only
20791	DFNA42	deafness, autosomal dominant 42	phenotype only
17243	DFNA43	deafness, autosomal dominant 43	phenotype only
18691	DFNA45	deafness, autosomal dominant 45	phenotype only
18692	DFNA46	deafness, autosomal dominant 46	phenotype only
18693	DFNA47	deafness, autosomal dominant 47	phenotype only
18820	DFNA49	deafness, autosomal dominant 49	phenotype only
18819	DFNA50	deafness, autosomal dominant 50	phenotype only
19984	DFNA51	deafness, autosomal dominant 51	phenotype only
15821	DFNA52	deafness, autosomal dominant 52	phenotype only
21402	DFNA53	deafness, autosomal dominant 53	phenotype only
23566	DFNA54	deafness, autosomal dominant 54	phenotype only
33491	DFNA57	deafness, autosomal dominant 57	phenotype only
34029	DFNA58	deafness, autosomal dominant 58	phenotype only
2837	DFNB5	deafness, autosomal recessive 5	phenotype only
